epoch,phase,loss,accuracy,balanced_accuracy
1,train,2.8064,0.1414,0.1404
1,validation,2.7707,0.146,0.2074
2,train,2.1563,0.3129,0.3169
2,validation,1.7371,0.4109,0.4994
3,train,1.1899,0.6022,0.6017
3,validation,1.0629,0.6336,0.701
4,train,0.7955,0.7453,0.7451
4,validation,0.8051,0.7392,0.7832
5,train,0.5577,0.8223,0.8223
5,validation,0.655,0.7916,0.8297
6,train,0.445,0.8591,0.8588
6,validation,0.602,0.8311,0.8583
7,train,0.395,0.8737,0.8738
7,validation,0.4068,0.8638,0.8862
8,train,0.3508,0.8882,0.8882
8,validation,0.3559,0.8858,0.9064
9,train,0.3054,0.9031,0.9033
9,validation,0.3437,0.8895,0.9077
10,train,0.2802,0.9112,0.9114
10,validation,0.3343,0.8933,0.9135
11,train,0.2668,0.9142,0.9143
11,validation,0.3055,0.9053,0.9182
12,train,0.2529,0.9174,0.9172
12,validation,0.3045,0.9017,0.9221
13,train,0.2344,0.9236,0.9232
13,validation,0.3178,0.898,0.911
14,train,0.2358,0.9229,0.9225
14,validation,0.2695,0.9106,0.9248
15,train,0.2134,0.9304,0.9305
15,validation,0.2482,0.9194,0.9311
16,train,0.2133,0.9309,0.9309
16,validation,0.2555,0.9171,0.9295
17,train,0.2114,0.9304,0.9306
17,validation,0.2009,0.9297,0.9409
18,train,0.2012,0.9337,0.9336
18,validation,0.2222,0.9243,0.9319
19,train,0.1987,0.934,0.9343
19,validation,0.199,0.9356,0.9449
20,train,0.1958,0.9352,0.9349
20,validation,0.2289,0.9243,0.9357
